t_id,from_id,to_id,currency,amount,creation_time,a_id
15,36395,52087,DGC,2.00000000,2017-04-13 11:18:53.837712,59134
16,63566,59134,LTC,5.00000000,2017-04-13 11:22:30.068095,59134
17,33979,42868,ETH,8.00000000,2017-04-13 11:23:19.931066,59134
18,33979,36395,LTC,9.00000000,2017-04-13 11:23:33.159692,52087
20,57978,33979,DAS,5.00000000,2017-04-13 11:25:19.172642,52087
21,63566,42868,ETH,10.00000000,2017-04-13 11:25:54.93727,42868
23,63566,52087,DGC,3.00000000,2017-04-13 11:27:47.340034,52087
24,42868,59134,BTC,10.00000000,2017-04-13 11:29:50.368866,52087
25,42868,52087,ETH,10.00000000,2017-04-13 11:30:16.055715,52087
26,17946,52087,DAS,6.23000000,2017-04-13 11:33:40.816866,52087
27,17946,63566,LTC,1.23000000,2017-04-13 11:34:10.889717,52087
28,63566,33979,DGC,1.00000000,2017-04-13 12:51:26.809201,52087
29,36395,57978,BTC,5.50000000,2017-04-13 12:56:34.218805,52087
